constructorName,p2_5,p97_5
AlphaTauri,-8.69279944,2.93671295
Alpine,-7.771022599999999,2.6993477149999974
Aston Martin,-7.4938775625,2.528185524999999
Audi,,
Cadillac,,
Ferrari,-7.704814338212468,3.4371617000000003
Force India,,
Haas,-8.164382224999999,1.991673049999999
Kick Sauber,-5.8554726610485135,0.04789595000000202
Manor,,
McLaren,-9.2930954,3.325028
Mercedes,-6.8430954,2.79869652
RB,-7.5362995999999995,2.3922502
Racing Bulls,-7.959200822957715,-0.5119655000000005
Red Bull,-4.577365846740175,2.5798241975
Sauber,,
Toro Rosso,,
Williams,-8.5893221625,2.586034449999999
